N_unmapped	2697225	2697225	2697225
N_multimapping	18700205	18700205	18700205
N_noFeature	4221544	32606656	4564112
N_ambiguous	3685833	113978	2099049
ENSG00000223972	0	13	0
ENSG00000227232	158	0	171
ENSG00000278267	24	1	23
ENSG00000243485	0	0	0
ENSG00000284332	0	0	0
ENSG00000237613	0	0	0
ENSG00000268020	0	0	0
ENSG00000240361	0	0	0
ENSG00000186092	0	0	0
ENSG00000238009	0	0	5
ENSG00000239945	0	0	0
ENSG00000233750	10	16	0
ENSG00000268903	787	1	787
ENSG00000269981	396	0	396
ENSG00000239906	19	0	19
ENSG00000241860	12	0	12
ENSG00000222623	0	0	0
ENSG00000241599	0	0	0
ENSG00000279928	9	4	5
ENSG00000279457	389	0	389
ENSG00000273874	4	0	4
ENSG00000228463	9	0	23
ENSG00000286448	0	14	0
ENSG00000236679	0	0	0
ENSG00000236601	0	0	0
ENSG00000237094	126	0	126
ENSG00000269732	0	0	0
ENSG00000284733	0	0	0
ENSG00000233653	0	0	0
ENSG00000250575	7	0	7
ENSG00000278757	5	0	5
ENSG00000230021	5	38	5
ENSG00000235146	0	0	0
ENSG00000225972	4	0	4
ENSG00000225630	1160	1	1159
ENSG00000237973	139	0	162
ENSG00000278791	0	4	0
ENSG00000229344	13	0	17
ENSG00000240409	0	0	0
ENSG00000248527	6132	31	6101
ENSG00000198744	10	0	11
ENSG00000268663	0	0	0
ENSG00000284662	0	0	0
ENSG00000229376	3	3	0
ENSG00000228327	151	0	151
ENSG00000223181	0	0	0
ENSG00000229905	0	0	0
ENSG00000237491	59	35	32
ENSG00000285268	0	0	0
ENSG00000230092	7	2	15
ENSG00000177757	16	19	0
ENSG00000228794	302	16	316
ENSG00000225880	62	1	77
ENSG00000230368	0	0	0
ENSG00000234711	1	0	1
ENSG00000283040	0	0	0
ENSG00000272438	2	2	0
ENSG00000230699	0	0	0
ENSG00000241180	0	0	0
ENSG00000223764	0	0	0
ENSG00000187634	0	165	0
ENSG00000188976	915	3	1077
ENSG00000187961	636	9	627
ENSG00000187583	47	7	57
ENSG00000187642	0	17	0
ENSG00000272512	5	0	5
ENSG00000188290	269	14	255
ENSG00000187608	989	5	984
ENSG00000231702	0	0	0
ENSG00000224969	0	0	0
ENSG00000188157	125	2	123
ENSG00000242590	0	0	0
ENSG00000217801	166	156	11
ENSG00000273443	0	1	0
ENSG00000237330	0	0	0
ENSG00000131591	580	1	579
ENSG00000285812	8	8	0
ENSG00000223823	20	0	20
ENSG00000207730	0	0	0
ENSG00000207607	0	0	0
ENSG00000198976	0	0	0
ENSG00000272141	0	0	0
ENSG00000205231	0	0	0
ENSG00000162571	4	0	4
ENSG00000186891	432	6	426
ENSG00000186827	300	7	293
ENSG00000078808	3760	24	3736
ENSG00000176022	902	5	897
ENSG00000184163	26	1	25
ENSG00000260179	6	0	6
ENSG00000160087	1560	5	1555
ENSG00000230415	26	0	26
ENSG00000162572	205	3	202
ENSG00000131584	1767	134	1754
ENSG00000278073	0	0	0
ENSG00000169972	266	69	408
ENSG00000127054	2464	198	2356
ENSG00000283712	0	0	0
ENSG00000240731	49	15	34
ENSG00000224051	683	8	675
ENSG00000169962	39	16	28
ENSG00000107404	1272	17	1260
ENSG00000284372	0	0	0
ENSG00000162576	220	169	51
ENSG00000175756	2070	23	2047
ENSG00000223663	3	1	2
ENSG00000221978	5967	32	5936
ENSG00000224870	847	214	864
ENSG00000242485	1423	46	1608
ENSG00000264293	0	0	0
ENSG00000272455	180	1	179
ENSG00000235098	23	2	21
ENSG00000225905	0	0	0
ENSG00000205116	0	0	0
ENSG00000225285	2	0	2
ENSG00000179403	0	0	0
ENSG00000215915	25	0	25
ENSG00000160072	984	6	978
ENSG00000284740	13	0	13
ENSG00000197785	300	9	291
ENSG00000205090	6	0	6
ENSG00000160075	4146	12	4134
ENSG00000215014	29	4	25
ENSG00000274481	0	0	0
ENSG00000228594	173	1	172
ENSG00000286989	57	0	57
ENSG00000272106	131	27	154
ENSG00000197530	3882	2353	1579
ENSG00000189409	134	31	108
ENSG00000248333	1092	43	1054
ENSG00000272004	1	199	10
ENSG00000189339	2648	59	2797
ENSG00000269737	87	86	1
ENSG00000215914	26	15	11
ENSG00000008128	106	0	110
ENSG00000268575	90	3	154
ENSG00000227775	31	376	11
ENSG00000215790	609	39	852
ENSG00000008130	5887	33	5854
ENSG00000078369	5839	32	5807
ENSG00000231050	30	0	30
ENSG00000169885	7	0	7
ENSG00000178821	2	0	2
ENSG00000142609	0	0	0
ENSG00000233542	0	0	0
ENSG00000187730	2	0	2
ENSG00000226969	0	0	0
ENSG00000067606	303	76	582
ENSG00000271806	25	65	18
ENSG00000182873	85	61	31
ENSG00000162585	1948	312	1926
ENSG00000234396	0	1	0
ENSG00000157933	1601	4	1597
ENSG00000287356	35	30	11
ENSG00000116151	137	1	142
ENSG00000272161	1	0	1
ENSG00000269896	49	0	49
ENSG00000272420	12	0	12
ENSG00000157916	3407	196	4225
ENSG00000157911	219	854	379
ENSG00000149527	960	81	879
ENSG00000224387	22	15	7
ENSG00000229393	22	14	8
ENSG00000157881	936	2	934
ENSG00000197921	0	0	0
ENSG00000272449	445	22	423
ENSG00000238164	311	1173	428
ENSG00000157873	8205	191	9304
ENSG00000225931	33	2	31
ENSG00000228037	98	4	94
ENSG00000157870	400	55	497
ENSG00000142606	25	100	77
ENSG00000237058	0	5	0
ENSG00000215912	69	0	74
ENSG00000285945	0	0	0
ENSG00000283259	0	0	0
ENSG00000233234	0	0	0
ENSG00000287396	0	0	0
ENSG00000231630	0	0	0
ENSG00000284745	0	0	0
ENSG00000169717	0	0	0
ENSG00000177133	4	0	4
ENSG00000142611	1	0	1
ENSG00000283572	0	0	0
ENSG00000226286	0	0	0
ENSG00000279839	0	0	0
ENSG00000272235	0	0	0
ENSG00000287828	0	0	0
ENSG00000286518	0	0	0
ENSG00000130762	2	0	2
ENSG00000272088	0	0	0
ENSG00000162591	1755	12	1743
ENSG00000207776	0	0	0
ENSG00000238260	68	0	68
ENSG00000158109	1546	5	1541
ENSG00000116213	988	2	986
ENSG00000078900	10	31	8
ENSG00000227589	3	0	3
ENSG00000235131	0	0	0
ENSG00000227372	698	1	788
ENSG00000276189	0	10	0
ENSG00000162592	1	53	0
ENSG00000235169	88	6	82
ENSG00000130764	863	10	1002
ENSG00000266075	7	8	1
ENSG00000272153	43	187	3
ENSG00000116198	677	0	677
ENSG00000169598	347	2	345
ENSG00000198912	1389	22	1367
ENSG00000236423	11	0	11
ENSG00000233304	0	0	0
ENSG00000226374	0	0	0
ENSG00000284668	0	0	0
ENSG00000284703	0	0	0
ENSG00000229280	0	0	0
ENSG00000235054	0	0	0
ENSG00000284694	0	0	0
ENSG00000227169	0	0	0
ENSG00000232596	0	0	0
ENSG00000196581	35	0	35
ENSG00000287586	52	0	52
