N_unmapped	3086121	3086121	3086121
N_multimapping	41340872	41340872	41340872
N_noFeature	2174588	38281687	2323688
N_ambiguous	5300409	49839	4053560
ENSG00000223972	0	0	0
ENSG00000227232	71	0	71
ENSG00000278267	11	0	11
ENSG00000243485	0	0	0
ENSG00000284332	0	0	0
ENSG00000237613	0	0	0
ENSG00000268020	0	0	0
ENSG00000240361	0	0	0
ENSG00000186092	0	0	0
ENSG00000238009	0	0	8
ENSG00000239945	0	0	0
ENSG00000233750	37	47	0
ENSG00000268903	736	0	738
ENSG00000269981	249	0	249
ENSG00000239906	6	0	6
ENSG00000241860	8	0	8
ENSG00000222623	0	0	0
ENSG00000241599	0	0	0
ENSG00000279928	10	0	10
ENSG00000279457	154	0	154
ENSG00000273874	0	0	0
ENSG00000228463	10	0	17
ENSG00000286448	0	7	0
ENSG00000236679	0	0	0
ENSG00000236601	0	0	0
ENSG00000237094	62	0	62
ENSG00000269732	0	0	0
ENSG00000284733	0	0	0
ENSG00000233653	0	0	0
ENSG00000250575	0	0	0
ENSG00000278757	0	0	0
ENSG00000230021	3	19	4
ENSG00000235146	0	0	0
ENSG00000225972	5	0	5
ENSG00000225630	976	1	976
ENSG00000237973	117	0	121
ENSG00000278791	0	1	0
ENSG00000229344	10	0	11
ENSG00000240409	0	0	0
ENSG00000248527	4493	27	4466
ENSG00000198744	11	0	11
ENSG00000268663	0	0	0
ENSG00000284662	0	0	0
ENSG00000229376	2	3	0
ENSG00000228327	55	0	56
ENSG00000223181	1	0	1
ENSG00000229905	0	0	0
ENSG00000237491	23	17	12
ENSG00000285268	0	0	0
ENSG00000230092	2	0	5
ENSG00000177757	6	8	0
ENSG00000228794	148	22	152
ENSG00000225880	36	0	50
ENSG00000230368	0	0	0
ENSG00000234711	0	0	0
ENSG00000283040	0	0	0
ENSG00000272438	0	0	0
ENSG00000230699	0	0	0
ENSG00000241180	0	0	0
ENSG00000223764	0	0	0
ENSG00000187634	0	105	0
ENSG00000188976	432	0	537
ENSG00000187961	452	4	448
ENSG00000187583	18	3	18
ENSG00000187642	0	3	0
ENSG00000272512	7	0	7
ENSG00000188290	230	4	226
ENSG00000187608	1132	4	1128
ENSG00000231702	0	0	0
ENSG00000224969	0	0	0
ENSG00000188157	35	0	35
ENSG00000242590	0	0	0
ENSG00000217801	43	37	6
ENSG00000273443	1	1	0
ENSG00000237330	0	0	0
ENSG00000131591	395	0	395
ENSG00000285812	1	1	0
ENSG00000223823	4	0	4
ENSG00000207730	0	0	0
ENSG00000207607	0	0	0
ENSG00000198976	0	0	0
ENSG00000272141	0	0	0
ENSG00000205231	0	0	0
ENSG00000162571	4	0	4
ENSG00000186891	100	0	100
ENSG00000186827	150	0	150
ENSG00000078808	2244	1	2243
ENSG00000176022	383	0	383
ENSG00000184163	10	1	9
ENSG00000260179	3	0	3
ENSG00000160087	1169	2	1167
ENSG00000230415	6	0	6
ENSG00000162572	71	0	71
ENSG00000131584	940	107	937
ENSG00000278073	0	0	0
ENSG00000169972	144	52	276
ENSG00000127054	1518	98	1500
ENSG00000283712	0	0	0
ENSG00000240731	20	6	14
ENSG00000224051	471	3	468
ENSG00000169962	30	11	22
ENSG00000107404	859	0	862
ENSG00000284372	0	0	0
ENSG00000162576	53	34	19
ENSG00000175756	1986	6	1980
ENSG00000223663	2	2	0
ENSG00000221978	4120	2	4118
ENSG00000224870	523	173	552
ENSG00000242485	899	42	1059
ENSG00000264293	0	0	0
ENSG00000272455	92	0	92
ENSG00000235098	1	0	1
ENSG00000225905	0	0	0
ENSG00000205116	0	0	0
ENSG00000225285	0	0	0
ENSG00000179403	1	0	1
ENSG00000215915	32	0	32
ENSG00000160072	510	1	509
ENSG00000284740	14	0	14
ENSG00000197785	191	1	190
ENSG00000205090	7	0	7
ENSG00000160075	3356	5	3351
ENSG00000215014	16	1	15
ENSG00000274481	0	0	0
ENSG00000228594	114	0	114
ENSG00000286989	38	0	38
ENSG00000272106	119	3	146
ENSG00000197530	1583	708	905
ENSG00000189409	56	4	52
ENSG00000248333	620	8	612
ENSG00000272004	1	173	13
ENSG00000189339	1459	36	1608
ENSG00000269737	14	14	0
ENSG00000215914	16	12	4
ENSG00000008128	68	1	67
ENSG00000268575	32	0	53
ENSG00000227775	3	100	1
ENSG00000215790	339	7	405
ENSG00000008130	5587	10	5577
ENSG00000078369	4754	21	4733
ENSG00000231050	5	0	5
ENSG00000169885	5	0	5
ENSG00000178821	4	0	4
ENSG00000142609	0	0	0
ENSG00000233542	0	0	0
ENSG00000187730	1	0	1
ENSG00000226969	0	0	0
ENSG00000067606	149	47	307
ENSG00000271806	3	32	1
ENSG00000182873	47	40	10
ENSG00000162585	1112	154	1129
ENSG00000234396	0	0	0
ENSG00000157933	789	1	788
ENSG00000287356	10	8	4
ENSG00000116151	58	0	60
ENSG00000272161	0	0	0
ENSG00000269896	19	0	19
ENSG00000272420	1	0	1
ENSG00000157916	2605	90	3217
ENSG00000157911	108	615	195
ENSG00000149527	329	10	319
